total_quantity,total_revenue,avg_price,age
2,616.82,308.41,41
4,1912.68,478.17,25
2,774.1,387.05,68
3,903.21,301.07,60
5,1830.8500000000001,366.17,62
5,874.1500000000001,174.83,71
1,380.08,380.08,29
3,1216.6200000000001,405.54,64
3,1432.5,477.5,56
1,433.99,433.99,42
5,419.6,83.92,48
4,1338.72,334.68,25
1,323.43,323.43,48
5,2051.9,410.38,35
1,27.65,27.65,50
3,1426.59,475.53,69
2,230.16,115.08,19
3,491.22,163.74,44
2,299.54,149.77,65
1,54.19,54.19,33
5,1526.3999999999999,305.28,50
5,1124.2,224.84,60
1,87.9,87.9,64
2,993.86,496.93,20
4,1640.24,410.06,21
3,458.04,152.68,46
4,866.76,216.69,35
4,915.24,228.81,68
2,38.7,19.35,22
1,239.35,239.35,34
2,455.42,227.71,66
1,473.99,473.99,57
5,2031.3,406.26,30
5,715.6999999999999,143.14,72
2,130.26,65.13,75
1,101.9,101.9,50
2,191.54,95.77,68
3,272.73,90.91,42
5,776.25,155.25,43
2,603.84,301.92,43
1,254.46,254.46,75
2,274.24,137.12,68
3,556.6800000000001,185.56,48
3,1263.3899999999999,421.13,41
3,594.0600000000001,198.02,37
1,447.13,447.13,57
5,1096.3,219.26,49
1,376.51,376.51,63
5,108.6,21.72,22
5,2111.95,422.39,26
1,461.0,461.0,20
2,255.9,127.95,48
1,94.6,94.6,32
3,274.56,91.52,35
5,1105.75,221.15,24
2,682.36,341.18,37
4,1266.96,316.74,53
1,67.7,67.7,58
2,575.7,287.85,20
4,1363.4,340.85,36
5,1149.05,229.81,34
3,121.32,40.44,60
3,1422.51,474.17,61
5,2277.15,455.43,50
2,650.46,325.23,27
3,449.54999999999995,149.85,62
4,363.16,90.79,63
2,627.34,313.67,73
1,274.59,274.59,23
3,1446.84,482.28,24
1,158.11,158.11,47
3,459.45000000000005,153.15,74
4,536.48,134.12,32
2,709.6,354.8,59
2,654.44,327.22,23
3,1495.32,498.44,60
2,623.68,311.84,75
5,1765.95,353.19,50
3,176.73,58.91,75
5,2211.5,442.3,19
1,77.42,77.42,53
5,911.9499999999999,182.39,75
5,1547.7,309.54,27
1,475.07,475.07,75
5,398.29999999999995,79.66,36
3,1477.0500000000002,492.35,72
4,239.72,59.93,23
1,390.35,390.35,34
5,412.04999999999995,82.41,27
4,231.36,57.84,23
5,258.7,51.74,61
3,1194.93,398.31,43
3,1287.33,429.11,69
2,805.12,402.56,74
4,1024.72,256.18,32
5,2437.6499999999996,487.53,19
4,787.96,196.99,72
5,764.05,152.81,19
3,639.48,213.16,63
4,156.88,39.22,55
2,585.8,292.9,46
2,172.3,86.15,35
4,1355.52,338.88,55
5,2434.5,486.9,43
4,485.16,121.29,32
5,301.5,60.3,21
1,261.6,261.6,44
5,1978.1999999999998,395.64,44
5,928.25,185.65,24
3,603.96,201.32,65
5,62.300000000000004,12.46,67
1,306.53,306.53,32
4,989.0,247.25,26
4,681.72,170.43,37
2,111.26,55.63,69
3,476.25,158.75,27
4,1503.92,375.98,62
5,823.1,164.62,62
4,1168.48,292.12,39
4,1348.44,337.11,72
5,142.5,28.5,61
2,828.74,414.37,66
4,150.08,37.52,62
5,1701.6,340.32,54
4,1897.0,474.25,34
5,1347.1000000000001,269.42,42
1,230.09,230.09,49
4,127.0,31.75,55
2,278.86,139.43,67
5,707.35,141.47,29
4,1503.64,375.91,73
1,410.45,410.45,71
1,69.76,69.76,68
2,659.84,329.92,41
3,1265.5500000000002,421.85,25
3,878.22,292.74,63
3,1358.6999999999998,452.9,53
3,685.6500000000001,228.55,62
4,1726.92,431.73,75
3,53.849999999999994,17.95,26
3,1044.93,348.31,26
1,151.94,151.94,74
1,297.8,297.8,40
5,579.55,115.91,54
4,1897.08,474.27,40
2,867.34,433.67,52
5,1361.1000000000001,272.22,62
4,1710.6,427.65,31
3,1215.06,405.02,52
1,282.92,282.92,32
5,1826.6499999999999,365.33,24
3,1031.94,343.98,47
2,454.26,227.13,30
1,385.88,385.88,57
4,1910.72,477.68,29
2,257.1,128.55,23
5,1553.8999999999999,310.78,49
4,904.92,226.23,59
2,764.3,382.15,47
2,72.72,36.36,58
1,55.6,55.6,55
2,452.96,226.48,36
4,864.12,216.03,32
2,483.8,241.9,24
2,969.86,484.93,42
3,319.98,106.66,36
1,146.28,146.28,39
3,70.35,23.45,22
5,1395.6,279.12,47
5,1141.1499999999999,228.23,21
1,81.21,81.21,45
3,981.9000000000001,327.3,48
4,825.12,206.28,67
3,646.29,215.43,69
5,1152.45,230.49,36
2,911.2,455.6,65
3,419.84999999999997,139.95,18
4,765.56,191.39,34
2,822.66,411.33,64
1,481.21,481.21,31
1,191.02,191.02,75
1,447.49,447.49,47
2,167.94,83.97,75
3,1318.53,439.51,63
1,255.32,255.32,70
1,415.86,415.86,53
3,77.37,25.79,22
5,611.15,122.23,32
1,194.81,194.81,58
1,373.83,373.83,30
4,1070.88,267.72,19
1,107.79,107.79,63
3,1156.1100000000001,385.37,35
5,2028.85,405.77,26
3,1282.44,427.48,63
2,192.62,96.31,46
5,317.6,63.52,24
1,162.38,162.38,73
4,1552.0,388.0,53
2,301.02,150.51,18
3,963.21,321.07,34
2,514.02,257.01,39
2,532.54,266.27,34
3,501.96,167.32,22
2,493.28,246.64,33
4,903.32,225.83,29
4,855.04,213.76,24
4,693.4,173.35,70
3,799.5,266.5,58
4,1400.2,350.05,65
1,92.22,92.22,46
2,89.6,44.8,27
4,562.92,140.73,50
2,297.34,148.67,38
1,439.96,439.96,19
5,365.95,73.19,43
5,1233.4,246.68,31
2,424.96,212.48,59
1,389.49,389.49,19
4,405.16,101.29,32
3,1359.6,453.2,27
3,955.3199999999999,318.44,23
3,448.83000000000004,149.61,61
4,461.44,115.36,41
3,1031.34,343.78,20
1,340.27,340.27,65
1,183.61,183.61,49
1,202.55,202.55,57
3,1385.73,461.91,21
2,520.28,260.14,64
5,1701.55,340.31,18
4,459.4,114.85,31
4,1735.08,433.77,43
2,335.18,167.59,49
3,751.11,250.37,43
2,763.0,381.5,31
3,298.14,99.38,19
5,1246.9,249.38,20
5,334.79999999999995,66.96,68
4,818.24,204.56,30
5,1730.95,346.19,54
1,431.8,431.8,65
5,1400.75,280.15,44
3,225.06,75.02,33
1,329.05,329.05,56
5,2080.6,416.12,56
1,92.5,92.5,73
5,2131.85,426.37,52
5,2052.75,410.55,38
2,358.26,179.13,62
5,1288.65,257.73,35
1,117.37,117.37,43
3,842.6999999999999,280.9,47
1,333.66,333.66,39
2,983.94,491.97,18
4,627.48,156.87,37
2,235.56,117.78,19
5,1777.0,355.4,35
2,368.4,184.2,21
2,674.5,337.25,42
1,55.6,55.6,61
3,297.48,99.16,70
1,52.33,52.33,42
4,1667.56,416.89,64
4,1418.76,354.69,75
5,1201.85,240.37,27
4,1947.36,486.84,42
3,1128.84,376.28,23
4,628.96,157.24,62
4,636.56,159.14,74
5,115.0,23.0,64
2,296.62,148.31,67
4,1948.84,487.21,46
5,157.05,31.41,23
1,36.52,36.52,34
4,1054.76,263.69,73
2,614.24,307.12,26
5,2244.6,448.92,69
3,247.95000000000002,82.65,51
5,724.75,144.95,59
4,900.36,225.09,23
4,404.04,101.01,48
1,341.89,341.89,64
1,99.84,99.84,73
2,656.2,328.1,46
3,1250.6399999999999,416.88,70
4,486.0,121.5,57
5,1851.2,370.24,38
5,778.65,155.73,57
3,451.26,150.42,42
1,483.14,483.14,44
1,275.82,275.82,18
2,337.3,168.65,38
5,1508.3000000000002,301.66,27
1,311.67,311.67,59
3,1051.92,350.64,55
1,183.3,183.3,24
5,58.650000000000006,11.73,60
4,197.24,49.31,42
4,46.96,11.74,59
4,1832.32,458.08,61
2,663.72,331.86,32
2,846.44,423.22,29
5,187.60000000000002,37.52,32
1,80.65,80.65,37
4,1977.28,494.32,50
1,220.22,220.22,29
4,59.88,14.97,22
3,1306.1100000000001,435.37,18
1,138.55,138.55,56
3,414.51,138.17,22
3,746.73,248.91,39
5,436.34999999999997,87.27,63
3,488.49,162.83,23
4,398.24,99.56,57
4,1406.48,351.62,65
4,197.28,49.32,72
2,194.16,97.08,36
1,236.22,236.22,72
2,972.2,486.1,63
4,1915.76,478.94,48
5,2378.1,475.62,61
2,804.84,402.42,28
5,541.95,108.39,61
4,1339.04,334.76,49
2,723.98,361.99,51
5,1172.2,234.44,71
4,1332.92,333.23,57
1,432.67,432.67,68
4,344.92,86.23,65
4,603.08,150.77,26
2,699.08,349.54,71
3,559.08,186.36,21
5,120.9,24.18,57
2,482.66,241.33,73
1,280.12,280.12,39
3,190.77,63.59,19
1,465.66,465.66,25
3,138.72,46.24,18
2,459.14,229.57,38
2,101.04,50.52,74
2,137.88,68.94,39
5,2382.6499999999996,476.53,51
3,1372.32,457.44,60
4,886.16,221.54,71
2,790.02,395.01,32
1,241.61,241.61,19
2,395.92,197.96,29
2,786.98,393.49,57
3,1086.6,362.2,44
3,1180.53,393.51,68
2,91.78,45.89,64
3,1369.1399999999999,456.38,50
2,989.62,494.81,52
3,261.69,87.23,54
5,1142.15,228.43,26
3,1057.0500000000002,352.35,70
1,294.45,294.45,65
1,132.34,132.34,54
2,942.24,471.12,25
4,77.12,19.28,36
4,146.84,36.71,23
5,921.35,184.27,36
5,1609.7,321.94,63
1,457.29,457.29,71
2,845.98,422.99,67
3,188.43,62.81,39
3,1441.9499999999998,480.65,73
1,100.18,100.18,33
5,2053.0,410.6,58
2,430.26,215.13,53
5,1330.8000000000002,266.16,59
1,168.47,168.47,41
1,404.83,404.83,36
2,921.5,460.75,68
4,706.88,176.72,33
2,215.68,107.84,53
3,38.67,12.89,54
1,189.89,189.89,61
5,1379.4,275.88,63
5,1019.6500000000001,203.93,22
1,405.91,405.91,61
1,35.52,35.52,54
5,664.9,132.98,45
1,197.69,197.69,53
4,1385.76,346.44,71
4,1533.44,383.36,42
1,107.09,107.09,52
2,460.22,230.11,34
1,299.39,299.39,19
3,383.34000000000003,127.78,75
4,888.4,222.1,33
4,1603.76,400.94,65
1,135.56,135.56,20
1,142.29,142.29,63
2,376.94,188.47,63
3,274.74,91.58,69
2,511.8,255.9,34
2,938.66,469.33,40
1,401.05,401.05,46
4,1500.52,375.13,30
5,500.5,100.1,19
1,315.09,315.09,42
2,125.94,62.97,48
3,440.01,146.67,20
1,354.32,354.32,67
1,242.04,242.04,71
2,344.44,172.22,52
2,170.62,85.31,43
2,552.78,276.39,41
3,1098.42,366.14,37
1,281.72,281.72,39
3,1485.72,495.24,30
4,948.6,237.15,39
2,226.42,113.21,50
3,996.75,332.25,68
5,110.75,22.15,44
2,666.1,333.05,45
1,119.39,119.39,38
1,53.18,53.18,58
4,1064.52,266.13,25
5,1262.5,252.5,71
2,352.26,176.13,29
4,266.24,66.56,62
3,316.29,105.43,72
1,404.07,404.07,18
4,1857.12,464.28,62
3,263.15999999999997,87.72,36
2,688.08,344.04,29
4,719.76,179.94,18
3,1307.16,435.72,50
2,530.68,265.34,49
2,651.78,325.89,27
1,357.67,357.67,27
5,1188.95,237.79,56
1,489.19,489.19,32
3,388.04999999999995,129.35,28
4,1056.6,264.15,57
5,1036.4,207.28,42
1,450.81,450.81,50
1,195.85,195.85,45
2,691.78,345.89,24
2,120.66,60.33,48
3,1402.53,467.51,50
3,858.03,286.01,56
3,1427.01,475.67,51
3,1413.96,471.32,63
3,681.21,227.07,64
5,550.85,110.17,47
2,148.92,74.46,74
5,642.25,128.45,58
1,267.65,267.65,64
3,348.39,116.13,69
5,1978.8999999999999,395.78,56
3,461.84999999999997,153.95,42
4,679.32,169.83,29
2,557.82,278.91,38
2,480.52,240.26,48
2,602.2,301.1,24
1,423.98,423.98,24
1,463.62,463.62,72
4,790.04,197.51,22
4,218.72,54.68,74
5,1532.2,306.44,61
4,1953.96,488.49,42
5,686.4499999999999,137.29,24
5,1460.4499999999998,292.09,46
3,1484.6100000000001,494.87,37
1,20.84,20.84,52
1,309.55,309.55,52
2,206.4,103.2,60
1,304.0,304.0,24
2,616.86,308.43,25
1,409.85,409.85,65
5,466.45000000000005,93.29,58
5,1042.95,208.59,56
3,798.4499999999999,266.15,59
1,181.56,181.56,24
2,600.32,300.16,64
3,768.36,256.12,21
3,476.70000000000005,158.9,33
1,117.47,117.47,73
3,1362.6,454.2,19
3,154.59,51.53,63
1,257.23,257.23,51
4,1693.8,423.45,52
4,1830.16,457.54,29
2,587.34,293.67,65
5,195.9,39.18,61
4,1773.72,443.43,57
5,1535.2,307.04,48
5,1250.35,250.07,19
2,567.62,283.81,59
1,428.62,428.62,56
2,579.8,289.9,36
3,413.66999999999996,137.89,39
2,297.18,148.59,64
3,249.51,83.17,71
4,332.32,83.08,22
4,1904.28,476.07,69
4,1295.56,323.89,61
5,631.15,126.23,61
1,149.72,149.72,40
2,407.88,203.94,23
3,166.74,55.58,71
3,891.99,297.33,64
5,1778.25,355.65,21
2,833.86,416.93,33
3,730.11,243.37,64
5,2376.55,475.31,34
4,352.08,88.02,39
4,1091.68,272.92,30
3,436.08000000000004,145.36,41
1,66.24,66.24,27
2,226.48,113.24,43
5,1064.25,212.85,18
4,1627.96,406.99,38
1,89.38,89.38,47
5,891.0,178.2,49
1,152.2,152.2,49
4,1152.88,288.22,60
4,275.16,68.79,50
2,300.74,150.37,54
3,931.17,310.39,62
1,399.18,399.18,66
5,1226.9,245.38,54
2,381.0,190.5,41
4,1290.36,322.59,25
5,1871.9499999999998,374.39,30
1,78.2,78.2,66
5,984.35,196.87,38
1,393.9,393.9,44
5,1363.75,272.75,57
5,628.2,125.64,36
5,1542.1000000000001,308.42,20
5,424.45,84.89,68
3,91.83,30.61,50
2,328.22,164.11,66
5,577.9,115.58,31
4,1061.04,265.26,65
2,425.54,212.77,50
1,232.24,232.24,41
2,616.8,308.4,52
2,194.9,97.45,44
1,293.0,293.0,26
3,720.1500000000001,240.05,40
3,1126.77,375.59,32
1,240.56,240.56,33
1,489.21,489.21,60
3,204.66,68.22,52
4,668.44,167.11,48
2,640.96,320.48,21
1,124.01,124.01,58
3,229.32,76.44,49
5,1861.9499999999998,372.39,74
2,615.18,307.59,21
1,482.29,482.29,61
2,739.4,369.7,19
1,239.33,239.33,37
2,947.14,473.57,44
1,419.8,419.8,60
1,169.29,169.29,23
5,189.35,37.87,55
3,789.48,263.16,35
3,1337.46,445.82,73
1,317.08,317.08,37
4,1284.72,321.18,49
4,1727.64,431.91,29
1,499.23,499.23,58
1,375.92,375.92,73
2,407.22,203.61,39
1,474.75,474.75,61
5,1143.8,228.76,56
5,2379.45,475.89,52
2,119.02,59.51,25
5,805.25,161.05,55
5,1664.3000000000002,332.86,67
5,1605.2,321.04,43
5,1456.5,291.3,68
1,420.63,420.63,54
4,631.8,157.95,68
4,1282.88,320.72,75
2,545.66,272.83,38
1,218.74,218.74,68
4,294.36,73.59,71
4,148.68,37.17,45
1,458.02,458.02,64
1,198.08,198.08,33
4,436.24,109.06,21
1,312.01,312.01,57
5,745.3,149.06,38
2,316.1,158.05,59
1,292.66,292.66,75
3,1102.53,367.51,60
5,2263.35,452.67,70
2,672.68,336.34,56
2,400.34,200.17,60
1,247.97,247.97,37
2,689.72,344.86,63
3,614.88,204.96,72
4,1725.92,431.48,48
2,794.56,397.28,55
4,1521.68,380.42,46
1,424.55,424.55,24
3,894.81,298.27,62
3,932.0999999999999,310.7,67
3,250.41,83.47,28
1,391.58,391.58,68
1,52.5,52.5,25
4,215.08,53.77,38
1,22.21,22.21,50
2,571.96,285.98,44
2,919.54,459.77,28
5,414.90000000000003,82.98,41
2,467.7,233.85,67
4,1057.16,264.29,62
3,686.55,228.85,50
3,675.3,225.1,40
1,394.31,394.31,41
5,965.45,193.09,48
2,381.36,190.68,44
3,650.7,216.9,43
2,797.82,398.91,56
1,112.93,112.93,27
2,480.28,240.14,34
3,448.47,149.49,59
3,86.25,28.75,74
3,283.62,94.54,69
3,853.4100000000001,284.47,55
3,754.89,251.63,40
3,566.34,188.78,31
3,247.59,82.53,26
1,98.87,98.87,42
4,144.4,36.1,25
1,213.83,213.83,28
4,816.24,204.06,71
1,233.24,233.24,30
5,580.15,116.03,66
3,592.59,197.53,32
1,388.35,388.35,19
1,405.65,405.65,58
4,658.2,164.55,69
4,1517.04,379.26,49
4,1754.64,438.66,49
2,137.06,68.53,69
3,900.54,300.18,24
3,1044.72,348.24,65
2,111.56,55.78,60
2,872.4,436.2,26
3,1136.01,378.67,25
5,1639.65,327.93,36
5,2093.5499999999997,418.71,66
3,1378.23,459.41,43
1,332.78,332.78,28
3,1445.85,481.95,42
1,316.41,316.41,45
2,287.76,143.88,74
4,1780.44,445.11,47
4,104.8,26.2,21
4,1641.12,410.28,33
3,1035.54,345.18,21
4,1247.44,311.86,63
5,1773.1999999999998,354.64,49
5,1861.9499999999998,372.39,63
4,1212.64,303.16,50
1,394.75,394.75,48
4,1146.2,286.55,60
3,655.47,218.49,26
1,386.91,386.91,31
3,1495.0500000000002,498.35,27
2,110.14,55.07,44
3,515.8499999999999,171.95,29
2,435.34,217.67,37
4,757.2,189.3,30
5,625.4,125.08,36
2,709.7,354.85,38
1,487.74,487.74,70
4,1841.52,460.38,44
2,154.74,77.37,43
3,300.45000000000005,100.15,65
2,723.48,361.74,33
1,297.2,297.2,53
4,1347.0,336.75,37
5,429.25,85.85,70
1,153.82,153.82,29
2,473.22,236.61,67
2,174.6,87.3,72
4,1081.28,270.32,48
5,1244.4,248.88,56
1,146.35,146.35,18
2,124.02,62.01,68
4,342.32,85.58,41
2,605.18,302.59,28
3,1005.1800000000001,335.06,23
5,1548.1999999999998,309.64,47
4,1852.28,463.07,70
5,1619.5,323.9,45
2,69.22,34.61,43
3,1080.96,360.32,61
2,687.52,343.76,30
3,1263.42,421.14,74
4,822.4,205.6,22
3,910.44,303.48,48
3,887.01,295.67,29
1,106.07,106.07,75
2,354.98,177.49,56
2,779.62,389.81,62
5,1464.8,292.96,34
5,1829.05,365.81,18
4,786.8,196.7,27
1,88.76,88.76,31
2,651.76,325.88,64
2,39.44,19.72,25
1,284.33,284.33,62
3,936.51,312.17,21
4,1896.16,474.04,64
5,2286.0499999999997,457.21,29
5,1456.1000000000001,291.22,35
4,1147.28,286.82,55
4,57.88,14.47,33
3,235.82999999999998,78.61,55
4,1158.52,289.63,32
2,36.56,18.28,64
4,574.96,143.74,70
2,234.18,117.09,31
3,938.61,312.87,71
4,1675.52,418.88,59
5,715.15,143.03,38
5,1906.55,381.31,71
4,1978.64,494.66,47
2,151.2,75.6,45
3,1114.29,371.43,48
1,134.35,134.35,47
4,1425.0,356.25,75
1,200.44,200.44,60
2,321.88,160.94,27
2,987.9,493.95,63
4,1386.16,346.54,25
1,463.67,463.67,37
2,64.4,32.2,57
3,1223.49,407.83,59
5,1347.0500000000002,269.41,66
5,2351.0,470.2,34
2,424.5,212.25,69
1,63.44,63.44,26
3,592.98,197.66,23
1,273.56,273.56,43
2,21.44,10.72,55
3,696.99,232.33,62
5,1330.2,266.04,43
3,122.76,40.92,66
3,1240.56,413.52,39
4,1460.16,365.04,55
5,877.5,175.5,73
4,480.28,120.07,20
4,1302.92,325.73,70
5,2138.65,427.73,72
3,1176.78,392.26,50
1,101.82,101.82,50
1,474.06,474.06,37
3,493.91999999999996,164.64,66
